 ,Mean,Slice,µm
1,234.506,1,0
2,233.141,2,1
3,232.844,3,2
4,232.393,4,3
5,232.152,5,4
6,231.380,6,5
7,231.551,7,6
8,231.578,8,7
9,231.399,9,8
10,231.505,10,9
11,231.930,11,10
12,231.671,12,11
13,231.657,13,12
14,231.281,14,13
15,231.690,15,14
16,231.740,16,15
17,231.205,17,16
18,231.230,18,17
19,231.578,19,18
20,231.397,20,19
21,231.248,21,20
22,231.170,22,21
23,231.313,23,22
24,231.667,24,23
25,231.600,25,24
26,231.106,26,25
27,231.115,27,26
28,231.285,28,27
29,231.345,29,28
30,231.524,30,29
31,230.875,31,30
32,231.075,32,31
33,230.359,33,32
34,230.877,34,33
35,230.548,35,34
36,231.589,36,35
37,231.084,37,36
38,231.168,38,37
39,231.187,39,38
40,231.370,40,39
41,231.215,41,40
42,231.158,42,41
43,231.627,43,42
44,230.827,44,43
45,231.132,45,44
46,231.022,46,45
47,231.476,47,46
48,231.888,48,47
49,232.142,49,48
