 ,Mean,Slice,µm
1,220.133,1,0
2,219.074,2,1
3,219.084,3,2
4,218.831,4,3
5,218.703,5,4
6,219.136,6,5
7,219.315,7,6
8,219.101,8,7
9,218.897,9,8
10,218.535,10,9
11,218.844,11,10
12,218.600,12,11
13,218.933,13,12
14,218.625,14,13
15,219.095,15,14
16,219.018,16,15
17,218.531,17,16
18,218.687,18,17
19,218.747,19,18
20,218.363,20,19
21,218.371,21,20
22,218.545,22,21
23,218.388,23,22
24,218.742,24,23
25,218.678,25,24
26,218.055,26,25
27,218.898,27,26
28,218.354,28,27
29,218.324,29,28
30,218.312,30,29
31,218.105,31,30
32,218.323,32,31
33,218.084,33,32
34,217.936,34,33
35,217.562,35,34
36,217.952,36,35
37,217.886,37,36
38,217.921,38,37
39,217.665,39,38
40,217.531,40,39
41,217.387,41,40
42,217.366,42,41
43,217.841,43,42
44,217.900,44,43
45,217.581,45,44
46,217.595,46,45
47,217.474,47,46
48,217.727,48,47
49,217.532,49,48
