 ,Mean
1,246.726
2,255.397
3,254.387
4,253.427
5,251.447
6,252.284
7,251.031
8,251.193
9,251.157
10,251.093
11,251.1
12,251.074
13,251.031
14,251.764
15,251.969
16,251.229
17,252.064
18,251.245
19,251.427
20,252.37
21,251.464
22,252.448
23,253.358
24,253.426
25,252.489
26,253.402
27,254.389
28,254.498
29,254.476
30,255.428
31,254.415
32,252.436
33,251.687
34,252.425
35,252.489
36,253.433
37,254.356
38,253.467
39,253.417
40,253.391
41,253.469
42,253.415
43,254.389
44,254.406
45,254.485
46,255.367
47,255.429
48,254.492
49,255.402
